epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
78,282.898,1.13806,0.43773,0.33288,0.62758,0.01719,1.72641,0.90992,0.96552,0.98706,0.69258,0.90992,0.96552,0.98706,0.9552,1.10552,0.21345,0.10768,0.42726,0.01603,0,0.00184754,0.00184754,0.00184754
79,286.602,1.16156,0.35611,0.32928,0.54517,0.01773,1.33978,0.90381,0.93103,0.97633,0.71682,0.90381,0.93103,0.97633,0.96795,0.95201,0.16296,0.10698,0.44263,0.01391,0,0.00184556,0.00184556,0.00184556
80,290.517,1.17428,0.39356,0.31421,0.60205,0.01733,1.45382,0.88592,0.80344,0.93972,0.58496,0.90713,0.8421,0.95462,0.93752,1.39717,0.20115,0.11043,0.76069,0.02033,0,0.00184358,0.00184358,0.00184358
81,294.152,1.17509,0.33515,0.31237,0.5947,0.01781,1.50404,0.87559,0.84945,0.95062,0.57642,0.89079,0.89655,0.95947,0.94569,1.43264,0.18771,0.14718,0.64964,0.02118,0,0.0018416,0.0018416,0.0018416
82,297.81,1.1213,0.37005,0.29997,0.60014,0.01613,1.25115,0.99149,0.87931,0.97602,0.67493,0.99149,0.87931,0.97602,0.96295,1.13383,0.18291,0.12867,0.46299,0.01657,0,0.00183962,0.00183962,0.00183962
83,301.418,1.16458,0.32164,0.32349,0.57276,0.01637,1.0986,0.892,0.91379,0.95619,0.61074,0.892,0.91379,0.95619,0.92833,1.34053,0.22236,0.13933,0.58655,0.01985,0,0.00183764,0.00183764,0.00183764
84,305.05,1.13896,0.33002,0.32652,0.57885,0.0167,1.19446,0.94674,0.91951,0.98286,0.54536,0.92905,0.90318,0.9532,0.94776,1.59364,0.26891,0.16275,0.52855,0.02455,0,0.00183566,0.00183566,0.00183566
85,308.721,1.12102,0.38329,0.31158,0.60559,0.01663,1.21052,0.93204,0.94586,0.98167,0.57096,0.93204,0.94586,0.98167,0.96245,1.45505,0.17002,0.11225,0.5033,0.02153,0,0.00183368,0.00183368,0.00183368
86,312.234,1.10264,0.38665,0.31726,0.5483,0.0166,1.14416,0.87424,0.93103,0.96138,0.45736,0.87424,0.93103,0.96138,0.95221,1.88261,0.14665,0.10924,0.60321,0.02967,0,0.0018317,0.0018317,0.0018317
87,315.795,1.08455,0.40008,0.34849,0.59622,0.01587,1.26698,1,0.83548,0.96854,0.45344,1,0.83548,0.96854,0.9472,1.87305,0.20442,0.10028,0.58167,0.02889,0,0.00182972,0.00182972,0.00182972
88,319.501,1.08048,0.35765,0.32982,0.57798,0.01529,0.97557,0.97144,0.94828,0.98714,0.54543,0.97144,0.94828,0.98714,0.97243,1.56044,0.15457,0.09792,0.51364,0.02294,0,0.00182774,0.00182774,0.00182774
89,323.106,1.11223,0.30807,0.33029,0.57624,0.01668,0.86757,0.84854,0.86939,0.93876,0.34286,0.84854,0.86939,0.93876,0.93036,2.30262,0.1432,0.11044,0.70619,0.03824,0,0.00182576,0.00182576,0.00182576
90,326.633,1.13543,0.2833,0.29143,0.5577,0.01627,0.58597,0.94887,0.89655,0.97335,0.64273,0.94887,0.89655,0.97335,0.96255,1.27076,0.15956,0.11005,0.5572,0.01854,0,0.00182378,0.00182378,0.00182378
91,330.218,1.16868,0.29059,0.33628,0.63999,0.0177,0.77425,0.93048,0.92311,0.97925,0.44592,0.93048,0.92311,0.98132,0.96654,2.03931,0.19725,0.11264,0.64447,0.03394,0,0.0018218,0.0018218,0.0018218
92,333.829,1.11134,0.31928,0.30247,0.5672,0.01631,0.72533,0.86797,0.90683,0.95275,0.68127,0.86797,0.90683,0.95275,0.9469,1.10628,0.13082,0.11401,0.56224,0.01591,0,0.00181982,0.00181982,0.00181982
93,337.48,1.1093,0.31012,0.31239,0.60941,0.01618,0.87029,0.94416,0.87468,0.97214,0.61123,0.94416,0.87468,0.97214,0.96308,1.31118,0.1481,0.12094,0.54479,0.01906,0,0.00181784,0.00181784,0.00181784
94,341.094,1.03173,0.33397,0.33668,0.5786,0.01506,0.95926,0.96031,0.83449,0.95579,0.63439,0.96031,0.83449,0.95579,0.94857,1.13371,0.15886,0.12007,0.64692,0.01663,0,0.00181586,0.00181586,0.00181586
95,344.76,1.06814,0.30906,0.33552,0.62499,0.0163,0.9478,0.88559,0.93421,0.97177,0.51038,0.88559,0.93421,0.97177,0.95103,1.71205,0.22292,0.10879,0.66179,0.02692,0,0.00181388,0.00181388,0.00181388
96,348.465,1.13201,0.29232,0.32961,0.57858,0.01675,0.56452,0.96181,0.8686,0.97096,0.58174,0.96181,0.8686,0.97096,0.94619,1.48216,0.217,0.09356,0.55783,0.02144,0,0.0018119,0.0018119,0.0018119
97,352.083,1.09207,0.28329,0.32112,0.54399,0.01682,0.75844,0.93717,0.94828,0.98772,0.46691,0.93717,0.94828,0.98772,0.94204,1.67014,0.23719,0.09961,0.95923,0.02595,0,0.00180992,0.00180992,0.00180992
98,355.714,1.14192,0.26599,0.31316,0.59267,0.01649,0.47146,0.98295,0.93103,0.98944,0.53636,0.98295,0.93103,0.98944,0.9846,1.59852,0.12477,0.11103,0.5318,0.02434,0,0.00180794,0.00180794,0.00180794
99,359.329,1.09259,0.29595,0.32645,0.57611,0.01648,0.57605,0.93039,0.9218,0.97942,0.66374,0.93039,0.9218,0.97942,0.96928,1.14851,0.14105,0.10027,0.4807,0.0173,0,0.00180596,0.00180596,0.00180596
